channel,pMP_U,pMP_p,pMP_AUC,pMP_median_control,pMP_median_MDD,pMP_n_control,pMP_n_MDD,HFD_U,HFD_p,HFD_AUC,HFD_median_control,HFD_median_MDD,HFD_n_control,HFD_n_MDD,pMP_pBonf,pMP_sig_p<0.05,pMP_sig_pBonf<0.05,pMP_sig_frontier,HFD_pBonf,HFD_sig_p<0.05,HFD_sig_pBonf<0.05,HFD_sig_frontier
79,302.0,0.5873528750166327,0.5471014492753623,18.673861108842804,18.47727531484501,24,23,244.0,0.5026254477381114,0.4420289855072464,0.5867094383136625,0.603185043869752,24,23,29.929312652434714,False,False,False,18.840691934223067,False,False,False
80,317.0,0.388744069374785,0.5742753623188406,18.727203577649945,18.398107638729915,24,23,238.0,0.4248397357489112,0.4311594202898551,0.5523580248012046,0.570804833130147,24,23,28.639154460411465,False,False,False,14.604024715073487,False,False,False
81,317.0,0.388744069374785,0.5742753623188406,18.622097319815584,18.1480679038002,24,23,190.0,0.06882591062252712,0.3442028985507246,0.5934360735090283,0.6728173546485596,24,23,20.54586569574206,False,False,False,36.44634913678883,False,False,False
82,312.0,0.4499549276146769,0.5652173913043478,18.460585402588322,17.814882540616246,24,23,233.0,0.3657515014317637,0.4221014492753623,0.6261159674774173,0.6465738390587897,24,23,16.795622941730258,False,False,False,36.94090164460813,False,False,False
83,327.0,0.28250397161801766,0.592391304347826,18.235561775508472,17.3794230502291,24,23,255.0,0.6626415911148368,0.46195652173913043,0.6219655331894217,0.6383569948832352,24,23,14.107582187010003,False,False,False,15.111096536557088,False,False,False
84,343.0,0.15700576611852554,0.6213768115942029,18.337649289705443,17.558234268304986,24,23,252.0,0.6169953637949551,0.45652173913043476,0.6189793676872744,0.6484092499312645,24,23,15.889647241654561,False,False,False,20.213437642241335,False,False,False
85,337.0,0.19791118649608652,0.6105072463768116,18.482384463890888,17.978157307993627,24,23,255.0,0.6626415911148368,0.46195652173913043,0.6422239230188084,0.6282257627415039,24,23,15.372487240853763,False,False,False,25.211146497815612,False,False,False
86,304.0,0.5583871155473787,0.5507246376811594,18.676890891290604,18.51394264896348,24,23,261.0,0.7576406619373144,0.47282608695652173,0.6198469234012424,0.6133921808841184,24,23,28.992243460193578,False,False,False,15.628695361534659,False,False,False
87,323.0,0.32237665407895655,0.5851449275362319,18.720480973038196,18.52290679774541,24,23,240.0,0.4499549276146769,0.43478260869565216,0.5913028746243574,0.5906533391297899,24,23,21.775124951277032,False,False,False,13.99408596736203,False,False,False
88,319.0,0.3657515014317637,0.5778985507246377,18.430945056658274,17.98392579980254,24,23,234.0,0.3771397546659717,0.42391304347826086,0.6261502899318081,0.6811285517537274,24,23,14.250701536483,False,False,False,29.77467279892272,False,False,False
89,307.0,0.5162846617279295,0.5561594202898551,18.209355991952876,17.779806096479252,24,23,275.0,0.9915101046715017,0.49818840579710144,0.6346442729395585,0.6445511820045866,24,23,1.9830202093430034,False,False,False,19.359855742668405,False,False,False
90,323.0,0.32237665407895655,0.5851449275362319,18.192177861243277,17.697597146730686,24,23,262.0,0.7738833276987518,0.4746376811594203,0.6436020779859863,0.6532548887645665,24,23,23.837699330052363,False,False,False,28.48012180766521,False,False,False
91,318.0,0.3771397546659717,0.5760869565217391,18.23586061420395,17.91755435676825,24,23,263.0,0.7902256036823868,0.47644927536231885,0.6241600592555749,0.6713743234254619,24,23,12.459723639231127,False,False,False,20.54586569574206,False,False,False
92,285.0,0.8564523383039433,0.5163043478260869,18.457405727294592,18.66285005722696,24,23,248.0,0.5583871155473787,0.4492753623188406,0.6454195496832533,0.6540023419695424,24,23,30.97707970367577,False,False,False,38.66041595315092,False,False,False
93,312.0,0.4499549276146769,0.5652173913043478,18.720384505903116,18.64605081863756,24,23,245.0,0.5162846617279295,0.4438405797101449,0.6189483168368624,0.6319996340275216,24,23,9.237061355849946,False,False,False,24.24450118199406,False,False,False
94,310.0,0.47589071739669675,0.5615942028985508,18.72438927897866,18.647866903085465,24,23,243.0,0.4891597095761495,0.44021739130434784,0.6181329016786367,0.6316523740512197,24,23,20.58477447357542,False,False,False,31.35794084959996,False,False,False
95,295.0,0.693798003649465,0.5344202898550725,18.502197460445675,18.1346953357264,24,23,254.0,0.6472754956287547,0.4601449275362319,0.587984100621949,0.6524370614028194,24,23,23.58913212408181,False,False,False,25.002141843931376,False,False,False
96,294.0,0.7095766425318525,0.532608695652174,18.25495419282336,18.285425448913152,24,23,260.0,0.7415043087592827,0.47101449275362317,0.6046826560442435,0.6460032998143304,24,23,25.10374705631051,False,False,False,37.38589674590418,False,False,False
97,316.0,0.4005631908703319,0.572463768115942,18.65585538498304,18.54206482893517,24,23,257.0,0.693798003649465,0.46557971014492755,0.6291798269592964,0.6241659990607494,24,23,14.239684159121287,False,False,False,27.832846312036455,False,False,False
98,274.0,0.9745341584953889,0.4963768115942029,18.754659955739285,18.759842458266323,24,23,253.0,0.6320582930091349,0.4583333333333333,0.630547263356656,0.6247304630060918,24,23,22.895334120432345,False,False,False,37.3368357119312,False,False,False
99,283.0,0.8899802599450805,0.5126811594202898,18.64092552848425,18.375249756645367,24,23,272.0,0.9406245188913854,0.4927536231884058,0.5965297128708456,0.6047799538859271,24,23,30.548320127943708,False,False,False,35.70865879905892,False,False,False
100,275.0,0.9915101046715017,0.49818840579710144,18.67798227314121,18.58572075210361,24,23,235.0,0.388744069374785,0.4257246376811594,0.601878005558891,0.6523701822085973,24,23,12.03991787220922,False,False,False,25.843022053478634,False,False,False
101,288.0,0.8066606559445169,0.5217391304347826,18.59980898805987,18.55807209108653,24,23,244.0,0.5026254477381114,0.4420289855072464,0.615935902955088,0.6285476454122897,24,23,18.45719039272897,False,False,False,17.74653443077937,False,False,False
102,289.0,0.7902256036823868,0.5235507246376812,18.939124087860506,18.825359926024447,24,23,226.0,0.2921439804957928,0.40942028985507245,0.6070449953852604,0.6211442709455482,24,23,21.17649695508126,False,False,False,25.180380462363797,False,False,False
103,302.0,0.5873528750166327,0.5471014492753623,18.854270038994425,18.85132691744525,24,23,255.0,0.6626415911148368,0.46195652173913043,0.6294530154147637,0.618293399736851,24,23,1.0,False,False,False,38.235576217402006,False,False,False
104,333.0,0.22920864740434965,0.6032608695652174,18.759955167710995,18.419567297245354,24,23,229.0,0.32237665407895655,0.4148550724637681,0.6021464808057397,0.613077484897389,24,23,20.894849847866297,False,False,False,33.84954867829044,False,False,False
105,314.0,0.4248397357489112,0.5688405797101449,18.625573354034394,18.219243220591697,24,23,255.0,0.6626415911148368,0.46195652173913043,0.5766080035622971,0.5685416453508095,24,23,17.286812077329568,False,False,False,31.640444821217976,False,False,False
106,306.0,0.5301338579431278,0.5543478260869565,18.537397483206178,18.215353977255816,24,23,270.0,0.9068221962682691,0.4891304347826087,0.5479728662594071,0.5628088071154838,24,23,21.668733175565052,False,False,False,25.644408917107867,False,False,False
107,284.0,0.8731878288255717,0.5144927536231884,18.88441665632768,18.791424944591,24,23,263.0,0.7902256036823868,0.47644927536231885,0.588333779040942,0.6108405292559758,24,23,11.095584563313873,False,False,False,34.98883462424644,False,False,False
108,288.0,0.8066606559445169,0.5217391304347826,18.951024405889733,18.82940033305609,24,23,221.0,0.2461151672187305,0.4003623188405797,0.6143011545979709,0.6420928334880691,24,23,31.0995255499828,False,False,False,36.89630406440351,False,False,False
