channel,svm_loo_accuracy,svm_loo_balanced_accuracy,svm_loo_auc,svm_kfold_accuracy,svm_kfold_balanced_accuracy,svm_kfold_auc,multirocket_accuracy,multirocket_balanced_accuracy,hc2_accuracy,hc2_balanced_accuracy
99,0.5,0.4818415260454879,0.36995597945708,0.5,0.4818415260454879,0.4967901687454146,0.7428571428571429,0.7369772560528247,0.7285714285714285,0.717993396918562
94,0.4761904761904761,0.4612986060161408,0.5374633162142334,0.5333333333333333,0.5150403521643434,0.5234776228906823,0.6904761904761905,0.6885546588407924,0.6857142857142857,0.6711298606016141
92,0.4523809523809524,0.4377292736610418,0.5641049156272928,0.5285714285714286,0.5147652237710931,0.4995873074101248,0.6714285714285714,0.6662692589875275,0.7142857142857143,0.6990095377842993
97,0.4666666666666667,0.4516691122523845,0.5012839325018341,0.4857142857142857,0.4699192956713133,0.5418195157740279,0.6952380952380952,0.6908473954512105,0.719047619047619,0.7093727072633895
98,0.5047619047619047,0.4891782831988261,0.4226889214966985,0.5476190476190477,0.532006603081438,0.5033015407190021,0.6857142857142857,0.6771826852531181,0.7047619047619048,0.6843360234776229
100,0.5142857142857142,0.4947725605282465,0.3669295671313279,0.5333333333333333,0.5089875275128394,0.4444699192956713,0.7,0.6971753484959649,0.7428571428571429,0.7339508437270726
101,0.5523809523809524,0.5373257520176082,0.2208363903154805,0.5666666666666667,0.5462215700660309,0.486518708730741,0.7238095238095238,0.7177182685253118,0.7285714285714285,0.717993396918562
104,0.5142857142857142,0.4937637564196625,0.2671496698459281,0.5571428571428572,0.5285216434336023,0.4713407923697725,0.7380952380952381,0.7367021276595744,0.7428571428571429,0.7339508437270726
102,0.4523809523809524,0.4387380777696258,0.5221936903888481,0.4761904761904761,0.4602898019075568,0.5190755685986794,0.7,0.6931401320616287,0.6904761904761905,0.6764490095377842
105,0.5333333333333333,0.5099963316214233,0.4798239178283199,0.5047619047619047,0.477072633895818,0.4874358033749082,0.7666666666666667,0.7655906089508437,0.7476190476190476,0.7342259721203228
